@RELATION segments

@ATTRIBUTE seg-0 REAL
@ATTRIBUTE seg-1 REAL
@ATTRIBUTE seg-2 REAL
@ATTRIBUTE seg-3 REAL
@ATTRIBUTE seg-4 REAL
@ATTRIBUTE class {AFIB,ASYS,B,BI,HGEA,N,NOD,PM,SBR,SVTA,VER,VF,VFL,VT}

@DATA
300,340,330,320,340,VFL
320,180,160,230,100,VFL
260,60,290,40,320,VFL
360,290,330,320,330,VFL
330,320,330,320,320,VFL
330,320,320,320,320,VFL
250,320,220,350,300,VFL
320,320,180,650,270,VFL
330,290,300,320,290,N
320,300,290,320,300,N
320,190,300,190,330,N
290,160,300,320,310,N
320,170,460,300,170,N
160,160,150,160,280,N
170,160,230,50,250,N
200,160,260,370,340,N
170,330,250,170,170,N
160,290,180,280,310,N
350,340,330,80,70,N
170,150,160,170,160,N
100,210,150,160,150,N
300,90,70,160,160,N
150,160,150,150,160,N
90,210,150,160,150,N
150,150,160,150,150,N
160,150,160,150,150,N
160,150,90,200,160,N
160,150,150,150,160,N
150,150,150,150,150,N
150,160,150,150,160,N
140,80,210,160,150,N
150,150,150,150,150,N
150,150,150,140,150,N
150,150,150,150,150,N
140,150,150,150,150,N
150,140,150,150,150,N
150,150,140,150,150,N
150,150,150,150,140,N
150,150,150,150,140,N
150,150,150,150,140,N
140,150,150,150,150,N
140,150,150,150,150,N
140,150,140,150,140,N
150,140,150,150,140,N
150,140,140,140,140,N
150,140,140,140,150,N
140,140,140,140,140,N
150,140,130,140,130,N
140,150,140,160,140,N
140,150,140,150,150,N
150,140,140,140,140,N
150,140,150,140,130,N
140,140,130,140,140,N
140,130,140,140,140,N
140,130,140,130,130,N
90,130,120,70,130,N
80,130,120,110,100,VFL
60,150,100,150,60,VFL
120,110,60,100,70,VFL
50,70,60,190,60,VFL
60,40,90,40,70,VFL
90,80,100,40,140,VFL
60,60,90,100,90,VFL
30,90,30,130,190,VFL
90,100,100,100,60,VFL
90,70,60,110,80,VFL
70,60,70,70,100,VFL
60,70,60,230,70,VFL
30,70,110,70,70,VFL
60,40,130,70,60,VFL
70,80,60,70,100,VFL
340,100,130,340,210,VFL
70,60,70,90,100,VFL
130,60,130,140,70,VFL
150,140,150,150,150,N
140,140,150,140,140,N
150,140,150,140,140,N
150,140,150,140,150,N
140,140,140,150,140,N
150,140,140,140,150,N
150,140,140,140,140,N
140,150,140,140,150,N
140,140,150,140,140,N
140,140,140,140,140,N
140,150,140,140,140,N
150,140,140,140,140,N
140,140,130,140,130,N
130,130,130,140,130,N
130,130,130,130,130,N
130,130,140,130,130,N
130,130,130,140,120,N
130,80,170,150,130,N
130,130,130,130,120,N
130,130,130,140,120,N
130,120,80,160,150,N
130,130,140,120,130,N
130,130,130,130,130,N
120,140,120,200,120,N
160,70,160,60,250,N
60,130,240,190,90,N
180,70,60,40,70,N
90,220,60,120,60,N
90,30,70,60,130,N
60,100,90,100,370,N
110,60,70,120,340,N
60,70,60,60,180,N
60,140,130,140,60,N
140,70,210,140,40,N
160,200,80,210,60,N
70,60,110,40,230,N
110,70,310,50,550,N
1480,160,150,440,290,N
290,150,140,140,150,N
140,150,140,140,150,N
140,140,150,140,150,N
140,140,180,110,150,N
140,140,150,140,140,N
140,150,140,140,140,N
140,150,140,140,140,N
140,140,140,140,150,N
140,140,140,140,140,N
140,140,140,140,140,N
140,140,140,140,140,N
140,140,140,140,140,N
130,140,130,130,130,N
140,140,120,130,130,N
130,130,140,130,130,N
130,140,130,140,140,N
150,140,140,140,140,N
140,130,130,120,130,N
130,130,130,130,130,N
130,130,130,140,140,N
140,130,150,130,130,N
130,130,130,130,120,N
130,120,130,150,50,N
160,140,120,120,130,N
120,130,130,120,120,N
130,130,130,120,130,N
120,160,40,160,130,N
130,120,130,130,140,N
150,130,130,120,130,N
120,130,120,70,130,N
110,70,70,90,100,N
60,240,80,70,100,N
270,60,60,60,40,N
80,40,60,60,130,N
60,60,60,60,60,N
70,60,60,60,60,N
130,60,60,70,60,N
60,60,60,70,60,N
60,70,60,60,70,N
60,70,120,70,60,N
70,60,60,70,70,N
60,60,230,40,470,N
370,260,230,170,580,N
160,300,140,150,140,N
140,150,140,140,150,N
140,140,140,140,150,N
140,140,150,140,140,N
140,140,140,140,150,N
140,140,130,140,140,N
150,140,130,140,140,N
140,140,140,140,140,N
140,140,140,140,140,N
130,140,140,140,130,N
140,140,130,140,130,N
130,130,130,120,130,N
70,100,200,140,120,N
120,130,120,130,120,N
120,80,70,140,110,N
40,100,130,40,100,N
70,90,100,60,110,N
70,90,160,190,130,N
120,130,140,120,160,N
130,130,120,120,120,N
70,120,110,210,190,N
60,70,120,100,50,N
70,190,130,120,150,N
130,130,120,120,120,N
130,140,40,150,130,N
70,110,80,130,130,N
200,110,60,170,70,N
60,50,70,60,80,N
20,200,100,80,110,N
70,110,100,40,190,N
120,170,130,70,100,N
150,220,40,60,70,N
70,60,70,60,70,N
60,120,70,60,160,N
40,90,50,160,40,N
70,80,140,30,580,N
230,1320,170,150,160,N
150,430,150,560,140,N
140,140,140,140,140,N
140,130,150,140,130,N
140,170,110,140,140,N
140,130,140,140,130,N
180,100,140,130,170,N
130,40,180,130,140,N
120,80,50,100,160,N
130,130,80,130,70,N
40,170,150,280,150,N
140,130,170,90,80,N
120,180,120,80,80,N
90,50,120,130,40,N
130,160,120,80,90,N
110,100,70,130,140,N
120,80,150,180,140,N
130,130,120,80,170,N
140,120,110,180,180,N
80,80,170,170,130,N
40,210,130,170,40,N
170,70,60,100,140,N
120,80,160,150,160,N
130,210,170,130,120,N
110,140,160,40,160,N
150,110,50,130,130,N
80,170,160,40,160,N
70,70,140,110,70,N
90,330,40,170,150,N
140,130,140,80,190,N
130,130,80,170,90,N
50,80,190,80,160,N
100,100,220,170,90,N
140,80,180,140,130,N
220,190,130,240,130,N
110,190,170,100,130,N
80,180,140,80,150,N
80,130,80,80,90,N
90,120,100,150,140,N
40,80,90,110,40,VFL
140,90,80,70,70,VFL
80,70,70,70,70,VFL
80,70,70,70,80,VFL
70,70,80,70,80,VFL
70,70,80,70,80,VFL
